geneSymbol,rank
209749_s_at,2114
219962_at,10411
222257_s_at,10710
205378_s_at,8242
205377_s_at,10667
210332_at,10626
201715_s_at,1870
210337_s_at,13119
201128_s_at,9686
201127_s_at,15726
218981_at,4096
207071_s_at,12360
200793_s_at,14394
217307_at,12438
202982_s_at,5872
216103_at,9983
214763_at,6750
204565_at,12701
215728_s_at,14566
208002_s_at,15965
204212_at,4447
221641_s_at,2703
209600_s_at,11581
213501_at,8252
209601_at,3177
207656_s_at,1152
205364_at,10228
204242_s_at,12627
204241_at,7045
220845_at,13009
215227_x_at,13570
201630_s_at,4329
201629_s_at,11709
202767_at,17300
204638_at,3336
204393_s_at,9324
207427_at,11817
207973_x_at,2273
208013_s_at,1095
206776_x_at,14041
207991_x_at,953
207990_x_at,8151
207969_x_at,10867
221716_s_at,4816
218844_at,9855
207275_s_at,7875
201963_at,11364
202422_s_at,6537
218322_s_at,3968
213683_at,584
211207_s_at,1852
216409_at,17440
215432_at,5957
214069_at,6830
210377_at,6034
205942_s_at,8245
220061_at,17813
89977_at,8278
219616_at,17648
203872_at,14570
200974_at,8374
215787_at,15231
AFFX-HSAC07/X00351_M_at,742
AFFX-HSAC07/X00351_5_at,3798
200801_x_at,16617
213867_x_at,7710
AFFX-HSAC07/X00351_3_at,2651
205132_at,8914
221607_x_at,4365
211970_x_at,973
211983_x_at,301
201550_x_at,10907
212363_x_at,2721
213214_x_at,9049
212988_x_at,5383
211995_x_at,12800
202274_at,15925
202666_s_at,10322
206013_s_at,13626
206014_at,11443
220501_at,15307
214957_at,12075
211160_x_at,12021
208636_at,10751
208637_x_at,12577
203864_s_at,594
203863_at,13885
203861_s_at,8070
203862_s_at,10872
206891_at,697
222230_s_at,14541
200721_s_at,1318
200720_s_at,17866
202135_s_at,13980
200727_s_at,14563
200729_s_at,16635
200728_at,1215
213102_at,1947
213101_s_at,2701
200996_at,14034
218868_at,18102
222147_s_at,12822
219623_at,13608
218395_at,9399
218658_s_at,9036
203935_at,16141
208219_at,11115
208222_at,6349
205209_at,10379
208218_s_at,10378
213198_at,6319
208223_s_at,2300
205327_s_at,16807
220028_at,2183
210838_s_at,12255
205260_s_at,6334
206833_s_at,11632
216705_s_at,6591
204639_at,17097
207880_at,14752
215613_at,407
204943_at,13179
202952_s_at,12044
213790_at,3810
217007_s_at,286
205745_x_at,116
205746_s_at,14170
213532_at,12433
207597_at,6943
221128_at,12528
209765_at,187
207664_at,5370
207423_s_at,15089
207422_at,4875
207665_at,5655
208226_x_at,10061
208237_x_at,13493
208227_x_at,6043
206615_s_at,486
206616_s_at,11810
213411_at,8484
206046_at,17032
213808_at,2198
208269_s_at,8539
205997_at,4076
208268_at,7132
221337_s_at,6287
221446_at,889
216276_s_at,13403
211238_at,17972
211239_s_at,13360
205179_s_at,16129
205180_s_at,3409
202381_at,3758
206134_at,8368
222162_s_at,16766
221421_s_at,4867
220208_at,4443
214535_s_at,1463
214454_at,17196
220717_at,13446
214913_at,4557
219935_at,4876
220866_at,3361
220706_at,11388
220705_s_at,15881
220676_at,5099
220677_s_at,17571
220287_at,8479
206629_at,1136
213974_at,3835
220578_at,394
219150_s_at,1379
90265_at,6786
219358_s_at,8211
201786_s_at,11181
209979_at,4207
203865_s_at,17570
207999_s_at,13861
220648_at,147
221893_s_at,7767
44120_at,16812
222117_s_at,2410
221894_at,16128
218168_s_at,2794
220434_at,9953
215340_at,16170
213245_at,9915
215348_at,15454
217305_s_at,15734
214547_at,341
217687_at,5105
213219_at,14507
213217_at,10424
209321_s_at,15173
209320_at,2532
209195_s_at,14069
203741_s_at,17652
206811_at,7447
204497_at,5541
215400_x_at,4690
204498_s_at,6535
206281_at,2351
207151_at,16714
208030_s_at,2243
214736_s_at,4989
214726_x_at,7995
206807_s_at,1390
205268_s_at,4478
201034_at,15420
201753_s_at,10555
201752_s_at,8000
205882_x_at,8611
207820_at,163
209613_s_at,17372
209614_at,15517
209612_s_at,10767
206262_at,12501
208848_at,17219
208847_s_at,14264
214261_s_at,8474
207544_s_at,1266
210505_at,7881
217761_at,5240
207175_at,545
217748_at,13950
201346_at,5276
204119_s_at,16046
204120_s_at,3490
220538_at,3330
201773_at,9641
203321_s_at,2098
203322_at,109
212502_at,530
212500_at,4279
205481_at,6602
216220_s_at,524
205013_s_at,2802
205891_at,10247
220980_s_at,16135
207863_at,3814
211490_at,13223
211489_at,11321
211492_s_at,13817
211491_at,10274
210961_s_at,6699
210960_at,10022
209869_at,2272
208544_at,3200
206128_at,15563
208214_at,7870
217303_s_at,14467
206812_at,6995
38447_at,2831
201402_at,6323
201401_s_at,410
204183_s_at,9962
204184_s_at,702
201281_at,3907
221761_at,14735
201792_at,252
219361_s_at,6935
217729_s_at,11267
203563_at,4237
211826_s_at,13764
215451_s_at,13617
201924_at,17965
206105_at,11658
210957_s_at,8014
216364_s_at,10231
205734_s_at,5270
205735_s_at,5989
219199_at,1467
202486_at,4576
206840_at,13946
204694_at,13897
217939_s_at,11022
216064_s_at,12277
204332_s_at,11293
204333_s_at,12138
204066_s_at,16511
206152_at,15769
215080_s_at,16060
220390_at,16453
220649_at,3600
218480_at,11175
217046_s_at,13536
210081_at,2801
213928_s_at,11475
213926_s_at,17389
218091_at,16084
218092_s_at,4258
222126_at,4909
206820_at,6936
217450_at,6873
206821_x_at,12757
222362_at,4758
208042_at,11725
210710_at,12676
218534_s_at,8781
203566_s_at,5601
215535_s_at,7746
32836_at,15712
32837_at,17191
210678_s_at,1288
219723_x_at,1173
219693_at,7972
205401_at,2838
209173_at,15798
217410_at,11307
212283_at,14882
217419_x_at,11373
212285_s_at,3030
207193_at,1156
202834_at,2202
204499_at,8232
204500_s_at,14253
208016_s_at,7102
205357_s_at,4839
222321_at,4379
207293_s_at,12293
207294_at,3481
210326_at,9206
210327_s_at,2658
206957_at,8619
214766_s_at,623
200903_s_at,4033
200849_s_at,4925
207464_at,1953
200848_at,9598
200850_s_at,16607
215672_s_at,4466
212814_at,15106
205002_at,2923
221569_at,8536
220841_s_at,17747
220842_at,4053
220016_at,11191
211986_at,5672
212992_at,2157
202820_at,6779
201491_at,15006
204551_s_at,5917
210929_s_at,17109
219672_at,12008
219841_at,17563
220199_s_at,10979
207823_s_at,6732
213095_x_at,16792
209901_x_at,2493
215051_x_at,4967
205512_s_at,13994
212543_at,6811
220290_at,7989
220289_s_at,13784
206513_at,14916
202541_at,10759
202542_s_at,14631
209971_x_at,14876
202138_x_at,9351
209972_s_at,16301
201782_s_at,14915
201781_s_at,5701
219977_at,9128
208090_s_at,6515
215789_s_at,5051
206460_at,17098
215790_at,2914
202588_at,17887
202587_s_at,8552
212174_at,10735
208967_s_at,12297
212175_s_at,12929
205996_s_at,10926
212173_at,3589
212172_at,12589
204348_s_at,2341
204347_at,9448
219308_s_at,12450
201674_s_at,14082
210626_at,10638
210625_s_at,7055
201675_at,9155
213396_s_at,13240
205045_at,17808
215336_at,2251
203156_at,12526
210517_s_at,9608
222024_s_at,12671
213516_at,9540
208325_s_at,10748
222023_at,976
221718_s_at,10435
209534_x_at,17867
210269_s_at,852
203624_at,16094
202759_s_at,275
202760_s_at,1357
207344_at,6055
207019_s_at,9875
207800_at,14730
205771_s_at,5394
211172_x_at,11389
203848_at,5815
203847_s_at,1250
222160_at,2747
218064_s_at,3618
215741_x_at,15677
207870_at,18072
210962_s_at,14514
215483_at,9537
217893_s_at,16399
201900_s_at,3802
201272_at,4458
206561_s_at,4509
211653_x_at,541
209699_x_at,5181
209160_at,11061
210558_at,3593
207102_at,6399
207163_s_at,16235
203808_at,4694
211453_s_at,15295
203809_s_at,6171
212607_at,1010
212609_s_at,10100
219393_s_at,13313
218373_at,17544
218489_s_at,6771
218487_at,683
205633_s_at,17589
211560_s_at,6184
211298_s_at,1351
201951_at,13154
201952_at,9634
217791_s_at,13466
212224_at,10988
207015_s_at,9534
207016_s_at,15240
203180_at,11259
209646_x_at,12348
209645_s_at,7267
205208_at,7606
215798_at,16446
201425_at,12948
205623_at,12997
210544_s_at,6927
202054_s_at,11393
202053_s_at,485
205640_at,8085
211004_s_at,13232
204942_s_at,2746
204941_s_at,17767
203722_at,4971
211552_s_at,14448
203608_at,12483
203609_s_at,2381
204290_s_at,5312
221588_x_at,7604
221590_s_at,7133
213591_at,3529
208951_at,17525
208950_s_at,4750
220148_at,14341
201612_at,12494
200966_x_at,149
214687_x_at,17274
214423_x_at,7406
217238_s_at,8394
216600_x_at,4806
214424_s_at,73
204705_x_at,13846
211357_s_at,8052
204704_s_at,3879
202022_at,104
205584_at,3786
205583_s_at,11451
219015_s_at,7561
207396_s_at,5623
218203_at,17593
219649_at,13924
203545_at,1840
219374_s_at,17455
208212_s_at,7437
208211_s_at,4661
205621_at,3164
222228_s_at,10260
220365_at,5884
214220_s_at,14502
214707_x_at,130
214221_at,15144
207206_s_at,12189
207381_at,17946
207328_at,12365
206714_at,17633
204445_s_at,14307
214366_s_at,10883
204446_s_at,13929
213952_s_at,11470
204174_at,1470
207708_at,3126
222383_s_at,13722
211618_s_at,5336
207140_at,10505
207133_x_at,9769
214846_s_at,5271
215783_s_at,13754
211619_s_at,14965
204664_at,5305
216377_x_at,259
210431_at,12768
222333_at,11249
206837_at,2344
208330_at,7798
209424_s_at,10693
209425_at,14035
209426_s_at,10139
217113_at,8113
217111_at,320
221114_at,7269
205477_s_at,3717
214425_at,8927
52731_at,1777
219141_s_at,8713
201196_s_at,12907
201197_at,17938
219082_at,8106
208410_x_at,16984
208220_x_at,5878
202204_s_at,15763
202203_s_at,13453
206516_at,4693
206892_at,14055
222108_at,7245
204976_s_at,3866
220989_s_at,12840
209521_s_at,9640
203002_at,264
206121_at,4577
212360_at,7786
209491_s_at,11644
207992_s_at,11674
205257_s_at,2990
204294_at,11929
208498_s_at,11649
218167_at,6554
218575_at,14685
207845_s_at,11972
215282_at,14230
209001_s_at,14605
218555_at,16586
208722_s_at,9071
208721_s_at,3539
211036_x_at,2365
200098_s_at,1568
205141_at,367
213099_at,15627
36865_at,3204
217630_at,5783
221825_at,13993
221826_at,12845
205609_at,9290
205608_s_at,8810
211148_s_at,12238
205572_at,8581
213001_at,1012
219514_at,8417
213004_at,14414
219803_at,11041
221009_s_at,8967
206423_at,1466
205391_x_at,17344
205389_s_at,5864
208353_x_at,11558
207087_x_at,3904
205390_s_at,14332
208352_x_at,934
216195_at,18123
202921_s_at,17765
202920_at,11251
207950_s_at,15948
206385_s_at,9293
209442_x_at,17702
219868_s_at,11940
220076_at,2440
219081_at,7386
208772_at,2918
208773_s_at,12324
214919_s_at,5180
212200_at,4631
212201_at,411
213962_s_at,11831
210486_at,15912
220280_s_at,7050
212798_s_at,13201
218769_s_at,18032
206029_at,4304
218093_s_at,10700
219437_s_at,10849
212289_at,7520
216563_at,10076
216550_x_at,1576
212286_at,12215
212211_at,15730
221232_s_at,2529
205705_at,11083
205706_s_at,8208
221522_at,12323
213035_at,9264
214723_x_at,13595
220940_at,17050
216686_at,2845
211717_at,7176
212731_at,6494
219069_at,14954
215759_at,5034
220112_at,18051
204672_s_at,10601
204671_s_at,447
206112_at,11579
212747_at,4513
219989_s_at,13964
218274_s_at,15642
218804_at,16813
218910_at,1749
220111_s_at,11035
215241_at,7709
208571_at,12194
201043_s_at,12248
201051_at,3864
201038_s_at,13350
201305_x_at,4988
201306_s_at,14583
208103_s_at,15413
221505_at,952
202888_s_at,11309
220092_s_at,13896
220093_at,13771
201012_at,9803
210143_at,15136
206200_s_at,2782
214783_s_at,12306
208323_s_at,2868
210427_x_at,372
201590_x_at,6795
213503_x_at,16645
209369_at,7677
201301_s_at,15234
201302_at,14324
200782_at,328
200982_s_at,3554
201366_at,15928
209860_s_at,14025
203074_at,2521
210085_s_at,4278
211712_s_at,2007
205639_at,7925
207064_s_at,10223
204894_s_at,1401
205082_s_at,16514
205083_at,17305
219023_at,11452
205423_at,3828
203350_at,17312
201613_s_at,15597
65517_at,8234
218261_at,4035
205195_at,4581
209635_at,8582
205196_s_at,13346
203300_x_at,16043
203299_s_at,5788
212161_at,8011
212159_x_at,15138
211779_x_at,11576
215764_x_at,6461
200612_s_at,10609
200615_s_at,3404
200613_at,3312
208074_s_at,15618
202120_x_at,1455
211047_x_at,7695
203141_s_at,17729
203142_s_at,6030
205678_at,10607
208710_s_at,1706
210974_s_at,14823
206592_s_at,5727
203410_at,17803
202398_at,957
213215_at,8947
202399_s_at,15796
220229_s_at,2524
220228_at,12331
209837_at,12592
210952_at,11235
210277_at,11699
210278_s_at,3150
204859_s_at,5911
211553_x_at,6685
211554_s_at,5868
206679_at,9531
209870_s_at,790
209871_s_at,14221
205146_x_at,11695
215148_s_at,522
202652_at,11244
219994_at,3075
216750_at,599
212970_at,10090
40148_at,9633
213419_at,7051
212985_at,1417
212972_x_at,5682
216747_at,1073
204650_s_at,15332
216933_x_at,1353
215310_at,14636
203526_s_at,7487
203525_s_at,3974
203527_s_at,4359
205320_at,13042
217174_s_at,8408
206350_at,10156
201284_s_at,7559
210027_s_at,4499
218389_s_at,13087
221036_s_at,4116
214960_at,13599
214959_s_at,8875
201686_x_at,9937
201687_s_at,7887
218698_at,15470
213592_at,2455
209462_at,7459
208704_x_at,11745
208702_x_at,13075
211404_s_at,4920
208701_at,9170
208248_x_at,17687
208703_s_at,12587
214875_x_at,8353
217073_x_at,211
204450_x_at,15474
219465_at,1268
219466_s_at,17922
206894_at,8933
205108_s_at,8659
207158_at,4479
210873_x_at,4681
206632_s_at,414
204205_at,14297
215579_at,12563
213553_x_at,18021
204416_x_at,6378
204561_x_at,3085
205820_s_at,16732
206738_at,15020
201525_at,8179
212874_at,8606
203381_s_at,9636
203382_s_at,8167
212884_x_at,5203
212883_at,7372
207262_at,14859
205216_s_at,12257
209546_s_at,5371
221013_s_at,90
221653_x_at,10249
221087_s_at,15163
220478_at,10733
219716_at,17325
221031_s_at,14681
214910_s_at,7800
205682_x_at,14356
221620_s_at,6100
213289_at,15170
213282_at,9663
222269_at,5412
211277_x_at,14091
200602_at,10961
214953_s_at,816
215402_at,16556
202630_at,9788
202631_s_at,17956
202629_at,13490
218158_s_at,4056
218218_at,2280
213892_s_at,8829
203219_s_at,12315
218527_at,11921
209047_at,13903
207542_s_at,1800
206672_at,16306
39249_at,14883
203747_at,16275
39248_at,12267
210068_s_at,8504
210906_x_at,5004
210067_at,10327
210066_s_at,4877
216219_at,15052
208435_s_at,17535
206955_at,7929
206784_at,8782
205568_at,2770
211110_s_at,17891
211621_at,9824
201895_at,12052
212516_at,16659
34206_at,1113
214102_at,1261
213618_at,13002
218950_at,6343
210090_at,3384
201176_s_at,329
215564_at,6339
205239_at,15555
200065_s_at,298
208750_s_at,4595
200734_s_at,11255
200011_s_at,3224
211622_s_at,5398
201097_s_at,16205
201096_s_at,1860
201526_at,12920
203311_s_at,16747
203312_x_at,13414
217888_s_at,15259
211975_at,2664
202211_at,8992
202956_at,1475
202955_s_at,1338
216266_s_at,2986
218098_at,13425
215927_at,3817
215931_s_at,10585
214483_s_at,4438
218230_at,9198
202109_at,17076
215984_s_at,7817
203174_s_at,4684
206177_s_at,12437
203945_at,7657
203946_s_at,10651
216689_x_at,2776
217153_at,6313
202117_at,10012
219431_at,2419
204492_at,2499
207606_s_at,16710
218870_at,2959
218076_s_at,13837
37577_at,10596
212738_at,2670
206298_at,15169
221030_s_at,7317
38149_at,16422
204882_at,3381
215955_x_at,15558
205069_s_at,5498
205068_s_at,5637
220381_at,10467
220382_s_at,13633
203431_s_at,3629
210791_s_at,17662
213827_at,12229
215256_x_at,10633
204425_at,9079
205414_s_at,13879
215232_at,6311
217936_at,4384
208085_s_at,7537
206167_s_at,2038
37117_at,12288
205980_s_at,302
213606_s_at,2205
201167_x_at,7426
201168_x_at,15429
211716_x_at,8300
201288_at,16157
206888_s_at,9374
203055_s_at,12881
215139_at,11410
216620_s_at,11070
221656_s_at,5325
202914_s_at,9314
202913_at,6806
201333_s_at,16675
201334_s_at,8410
210741_at,10371
201335_s_at,10217
205507_at,17583
217348_x_at,17594
208009_s_at,8004
203756_at,17797
213039_at,3925
207629_s_at,3131
209435_s_at,557
222121_at,17837
218501_at,13262
221119_at,3074
211891_s_at,14206
216912_at,1044
205109_s_at,16420
220326_s_at,151
58780_s_at,3986
204765_at,16174
209539_at,16843
202548_s_at,1684
202547_s_at,15053
203263_s_at,16430
203264_s_at,13597
218917_s_at,13196
212152_x_at,12938
210649_s_at,15883
207591_s_at,11941
218964_at,5345
205062_x_at,12232
212591_at,9827
214943_s_at,17338
214139_at,4052
221230_s_at,15235
213138_at,9395
212614_at,15787
201229_s_at,16107
216008_s_at,1164
201228_s_at,3886
201230_s_at,16872
201657_at,7458
201659_s_at,15981
201658_at,7568
220468_at,25
219842_at,3852
210435_at,4427
210718_s_at,14958
202564_x_at,2256
202092_s_at,13629
202091_at,14374
202641_at,8625
213433_at,8507
205020_s_at,16597
202206_at,17407
202208_s_at,1148
202207_at,8267
213759_at,1115
203587_at,10031
203586_s_at,10296
211935_at,8276
220597_s_at,5887
218216_x_at,1348
200760_s_at,7729
200761_s_at,12497
217852_s_at,8910
218185_s_at,13212
221077_at,4741
221758_at,337
219096_at,15508
203487_s_at,12139
219094_at,7412
203486_s_at,5037
219637_at,4860
219636_s_at,17381
220754_at,9373
218694_at,6847
203404_at,16549
217858_s_at,14020
219335_at,9312
214749_s_at,15747
210828_s_at,1768
218221_at,10482
218222_x_at,7705
202986_at,1130
209824_s_at,16566
210971_s_at,13811
220658_s_at,13799
200950_at,14473
201954_at,10531
207988_s_at,12810
213513_x_at,11954
208679_s_at,15503
208736_at,16105
211963_s_at,16534
220966_x_at,7832
221482_s_at,3286
221483_s_at,15871
214553_s_at,2050
220359_s_at,12222
207136_at,5592
218832_x_at,5874
203388_at,1685
204443_at,4385
206129_s_at,11120
207784_at,9515
206831_s_at,2522
205894_at,2199
214490_at,11863
219973_at,6040
207919_at,4226
210147_at,7799
207675_x_at,11183
210237_at,16507
216052_x_at,17966
205784_x_at,17137
217516_x_at,778
210980_s_at,9142
213702_x_at,14721
213902_at,15180
210979_at,2685
221039_s_at,2640
206414_s_at,14376
219103_at,17641
222236_s_at,6352
212819_at,6684
212818_s_at,16447
218862_at,11097
217228_s_at,14766
217229_at,9850
208481_at,12883
221657_s_at,6112
219996_at,11411
218841_at,13281
205673_s_at,5335
219336_s_at,11243
215684_s_at,9121
212815_at,4814
209986_at,884
213768_s_at,8832
209985_s_at,2187
209988_s_at,3373
209987_s_at,17034
207607_at,10602
203427_at,4044
203428_s_at,814
218115_at,16413
206743_s_at,3517
206130_s_at,5646
218554_s_at,17355
209517_s_at,14207
214498_at,4415
204608_at,16950
206779_s_at,8348
210551_s_at,14595
36553_at,15440
209394_at,13371
36554_at,2024
202024_at,9162
205047_s_at,10269
217987_at,389
209135_at,5902
210896_s_at,12541
205808_at,8429
207284_s_at,6383
214993_at,11018
219918_s_at,4574
219087_at,14125
218908_at,14386
218857_s_at,6791
207076_s_at,5447
221135_s_at,11516
213197_at,13036
215407_s_at,2168
209693_at,12350
212234_at,4022
212238_at,17639
212237_at,7216
218659_at,3265
218782_s_at,2054
213387_at,14522
219068_x_at,784
220223_at,11253
218874_s_at,17858
222103_at,17214
212984_at,16929
205446_s_at,16343
202672_s_at,11087
200779_at,6564
204998_s_at,2473
217389_s_at,11899
204999_s_at,9065
203952_at,16063
217550_at,17420
216208_s_at,13078
203168_at,16269
211611_s_at,13459
206684_s_at,8589
216197_at,15033
216198_at,9190
218987_at,7957
207728_at,5070
219870_at,8731
207774_at,17993
204833_at,2870
213930_at,16788
213026_at,14545
203363_s_at,9975
209021_x_at,7599
203364_s_at,8246
204568_at,14247
220521_s_at,6820
213300_at,12957
219164_s_at,12520
221492_s_at,13129
220237_at,5242
213115_at,17795
204903_x_at,4794
204902_s_at,17985
212280_x_at,368
202512_s_at,10558
202511_s_at,10219
210639_s_at,11876
218673_s_at,9268
202492_at,8334
219359_at,4751
208758_at,3617
212672_at,17784
208442_s_at,6950
210858_x_at,1402
201855_s_at,17086
201854_s_at,15831
208871_at,4395
211076_x_at,7778
40489_at,5713
203454_s_at,13032
214070_s_at,8391
220920_at,11862
213238_at,8592
215842_s_at,4977
216488_s_at,745
213582_at,14204
212536_at,12380
207367_at,16270
218052_s_at,7983
218608_at,7915
219558_at,13145
212297_at,5923
220948_s_at,14292
203296_s_at,17377
203295_s_at,12242
214432_at,12249
201242_s_at,7013
201243_s_at,5531
204311_at,1493
208836_at,17306
220556_at,8159
205444_at,5050
212361_s_at,17791
209186_at,4141
212362_at,7475
207522_s_at,14065
207521_s_at,4134
213042_s_at,13484
213036_x_at,2416
215716_s_at,13143
209281_s_at,17510
212930_at,7265
211586_s_at,3372
216120_s_at,4289
204685_s_at,11414
215911_x_at,4606
216312_at,2536
207026_s_at,1670
212136_at,8666
212135_s_at,13071
205410_s_at,795
211137_s_at,13308
209935_at,16479
209934_s_at,8055
212255_s_at,10826
206043_s_at,6946
214798_at,11203
207139_at,10305
207546_at,6518
213738_s_at,13745
201322_at,13343
208870_x_at,3557
205711_x_at,17452
213366_x_at,16238
214132_at,15947
213041_s_at,15465
203926_x_at,16917
208972_s_at,16881
207552_at,2568
208764_s_at,17705
210149_s_at,17487
207335_x_at,7149
209492_x_at,4058
202325_s_at,3034
202961_s_at,3756
208745_at,787
208746_x_at,14664
207573_x_at,17226
210453_x_at,34
216954_x_at,5046
200818_at,2816
213995_at,7664
206993_at,15534
206992_s_at,1714
45828_at,2484
218038_at,12792
207809_s_at,15701
201444_s_at,12024
201442_s_at,5691
201443_s_at,12239
205095_s_at,15087
212383_at,15301
205703_at,5972
205704_s_at,8486
217603_at,12519
220197_at,12042
200078_s_at,9580
200954_at,7567
36994_at,9961
212041_at,15886
213587_s_at,9254
201972_at,17444
201971_s_at,741
205473_at,2528
201089_at,14316
202874_s_at,10566
202873_at,13242
202872_at,5740
208678_at,16033
201527_at,7476
212384_at,2075
200041_s_at,12343
214762_at,16777
221504_s_at,3622
205198_s_at,10792
205197_s_at,17755
204624_at,3850
213106_at,13551
210192_at,4934
219660_s_at,3248
219659_at,14479
214594_x_at,14434
216873_s_at,11749
215319_at,9561
220416_at,11101
212062_at,15727
216129_at,15157
214934_at,4401
214010_s_at,13644
214330_at,9125
213057_at,7065
218671_s_at,12765
209903_s_at,16478
209902_at,16927
211852_s_at,9834
212517_at,1736
213744_at,527
213745_at,3298
211022_s_at,16628
208860_s_at,16736
208859_s_at,14148
208861_s_at,4208
203231_s_at,984
203232_s_at,16674
208833_s_at,15040
208832_at,12063
202622_s_at,7367
207798_s_at,13171
201806_s_at,4496
205415_s_at,17387
205416_s_at,12164
216657_at,730
217321_x_at,16304
204516_at,8427
209964_s_at,8042
214342_at,3383
214343_s_at,4081
205052_at,12413
220525_s_at,15228
208080_at,13853
204092_s_at,10916
208079_s_at,12219
218580_x_at,9017
209464_at,7812
211107_s_at,1005
212599_at,13342
219366_at,15059
212474_at,15706
212471_at,4878
212475_at,10529
207848_at,8780
218631_at,9394
208111_at,4257
208108_s_at,3865
212849_at,14232
202685_s_at,8601
202686_s_at,14286
217014_s_at,12148
209309_at,6843
218043_s_at,5135
201772_at,15207
212461_at,4073
214575_s_at,10119
201891_s_at,17580
216231_s_at,16292
211812_s_at,17539
211379_x_at,12143
210121_at,5743
217452_s_at,4414
210205_at,3281
206947_at,6906
219521_at,12346
35179_at,12471
203452_at,8854
203188_at,17847
219326_s_at,7706
204856_at,4954
221240_s_at,246
213589_s_at,16085
215055_at,14126
206435_at,10087
201883_s_at,4596
211631_x_at,7645
216627_s_at,15975
201882_x_at,9763
209413_at,5865
210243_s_at,2214
210540_s_at,6249
212876_at,11016
221485_at,8462
221484_at,2648
206232_s_at,15964
206233_at,17900
53076_at,1157
222191_s_at,4231
210535_at,15832
210534_s_at,4266
205662_at,1230
219766_at,1310
218899_s_at,5185
206913_at,6005
217904_s_at,11257
217867_x_at,7737
204194_at,13050
210818_s_at,9056
221234_s_at,15877
1861_at,3095
209364_at,17546
202387_at,27
211475_s_at,4798
217911_s_at,15904
219624_at,17382
202984_s_at,12200
202985_s_at,2846
219218_at,17370
203051_at,15407
206083_at,11783
204966_at,17036
211568_at,7354
205638_at,11914
207832_at,551
209502_s_at,12237
205293_x_at,251
205294_at,12693
221178_at,17719
216356_x_at,15603
204874_x_at,12912
203728_at,17769
203304_at,5218
210125_s_at,660
219667_s_at,3193
219966_x_at,4621
201419_at,13475
205345_at,3351
219845_at,1421
210419_at,13876
202391_at,5384
205965_at,4754
220358_at,3681
208478_s_at,8774
211833_s_at,17961
217985_s_at,2897
217986_s_at,3214
208445_s_at,17728
211313_s_at,12032
213336_at,11900
201353_s_at,3160
215437_x_at,9445
201355_s_at,10658
201354_s_at,2027
217392_at,9552
203080_s_at,12839
211692_s_at,9297
205363_at,8791
218471_s_at,6320
219487_at,6765
212745_s_at,1258
212744_at,4648
219688_at,4161
209958_s_at,8062
37549_g_at,16404
37547_at,5931
216239_at,13709
213016_at,16371
213015_at,8562
203009_at,3246
40093_at,9321
219107_at,7579
91920_at,3325
221623_at,16499
205084_at,8022
217657_at,11045
200837_at,9857
204032_at,10842
